GRIDID,FID_1,Id,POINT_X,POINT_Y,GRIDID_1
180087,180087,0,-80.9781625899,40.1919183148,180087
180088,180088,0,-80.919662677,40.1848796736,180088
180089,180089,0,-80.8611742875,40.1778139352,180089
180090,180090,0,-80.8026974624,40.1707211076,180090
180091,180091,0,-80.7442322424,40.1636011993,180091
180092,180092,0,-80.6857786684,40.1564542183,180092
180881,180881,0,-82.788917182,40.4408365678,180881
180882,180882,0,-82.7300448642,40.4346378691,180882
180883,180883,0,-82.6711827965,40.428411815,180883
180884,180884,0,-82.6123310215,40.422158413,180884
180885,180885,0,-82.5534895816,40.4158776704,180885
180886,180886,0,-82.4946585191,40.4095695947,180886
180887,180887,0,-82.4358378764,40.4032341935,180887
180888,180888,0,-82.3770276958,40.3968714742,180888
180889,180889,0,-82.3182280195,40.3904814444,180889
180890,180890,0,-82.2594388897,40.3840641116,180890
180891,180891,0,-82.2006603486,40.3776194835,180891
180892,180892,0,-82.1418924382,40.3711475677,180892
180893,180893,0,-82.0831352006,40.3646483718,180893
180894,180894,0,-82.0243886778,40.3581219035,180894
180895,180895,0,-81.9656529118,40.3515681706,180895
180896,180896,0,-81.9069279444,40.3449871807,180896
180897,180897,0,-81.8482138176,40.3383789416,180897
180898,180898,0,-81.7895105731,40.3317434612,180898
180899,180899,0,-81.7308182527,40.3250807472,180899
180900,180900,0,-81.6721368981,40.3183908075,180900
180901,180901,0,-81.613466551,40.3116736499,180901
180902,180902,0,-81.554807253,40.3049292824,180902
180903,180903,0,-81.4961590456,40.2981577129,180903
180904,180904,0,-81.4375219704,40.2913589493,180904
180905,180905,0,-81.3788960688,40.2845329997,180905
180906,180906,0,-81.3202813823,40.277679872,180906
180907,180907,0,-81.2616779522,40.2707995743,180907
180908,180908,0,-81.2030858198,40.2638921145,180908
180909,180909,0,-81.1445050264,40.2569575009,180909
180910,180910,0,-81.0859356132,40.2499957416,180910
180911,180911,0,-81.0273776214,40.2430068446,180911
180912,180912,0,-80.9688310921,40.2359908181,180912
180913,180913,0,-80.9102960663,40.2289476704,180913
180914,180914,0,-80.8517725851,40.2218774097,180914
181707,181707,0,-82.7806740671,40.4850415364,181707
181708,181708,0,-82.7217659743,40.4788388212,181708
181710,181710,0,-82.6039806386,40.4663512827,181710
181711,181711,0,-82.5451034808,40.4600664743,181711
181712,181712,0,-82.4862367195,40.4537543164,181712
181713,181713,0,-82.4273803973,40.4474148166,181713
181714,181714,0,-82.3685345565,40.4410479824,181714
181715,181715,0,-82.3096992393,40.4346538213,181715
181716,181716,0,-82.2508744882,40.428232341,181716
181717,181717,0,-82.1920603452,40.421783549,181717
181718,181718,0,-82.1332568526,40.415307453,181718
181720,181720,0,-82.0156819869,40.4022733798,181720
181721,181721,0,-81.9569106979,40.3957154181,181721
181722,181722,0,-81.8981502275,40.3891301832,181722
181724,181724,0,-81.7806619101,40.3758779252,181724
181725,181725,0,-81.7219341467,40.3692109178,181725
181726,181726,0,-81.6632173694,40.3625166686,181726
181727,181727,0,-81.6045116198,40.3557951855,181727
181728,181728,0,-81.5458169396,40.3490464764,181728
181729,181729,0,-81.4871333704,40.3422705493,181729
181730,181730,0,-81.4284609539,40.3354674121,181730
181731,181731,0,-81.3697997316,40.3286370728,181731
181732,181732,0,-81.3111497449,40.3217795395,181732
181733,181733,0,-81.2525110354,40.3148948203,181733
181734,181734,0,-81.1938836443,40.3079829231,181734
182536,182536,0,-82.6545431931,40.5168063555,182536
182537,182537,0,-82.5956199015,40.5105448455,182537
182538,182538,0,-82.5367069833,40.5042559622,182538
182539,182539,0,-82.4778044809,40.4979397129,182539
182540,182540,0,-82.4189124368,40.4915961053,182540
182541,182541,0,-82.3600308934,40.4852251469,182541
182542,182542,0,-82.3011598932,40.4788268453,182542
182543,182543,0,-82.2422994785,40.472401208,182543
182544,182544,0,-82.1834496915,40.4659482428,182544
182545,182545,0,-82.1246105746,40.4594679573,182545
182546,182546,0,-82.0657821698,40.4529603592,182546
182547,182547,0,-82.0069645195,40.4464254563,182547
182548,182548,0,-81.9481576655,40.4398632562,182548
182552,182552,0,-81.7130390548,40.4133416408,182552
182553,182553,0,-81.6542868129,40.4066430725,182553
182554,182554,0,-81.5955456191,40.3999172541,182554
182555,182555,0,-81.5368155151,40.3931641937,182555
182556,182556,0,-81.4780965426,40.3863838991,182556
183365,183365,0,-82.6462079048,40.5610047072,183365
183366,183366,0,-82.5872487911,40.5547391296,183366
183367,183367,0,-82.52830007,40.5484461621,183367
183368,183368,0,-82.4693617839,40.5421258123,183368
183369,183369,0,-82.4104339755,40.5357780876,183369
183370,183370,0,-82.3515166872,40.5294029958,183370
183371,183371,0,-82.2926099616,40.5230005443,183371
183372,183372,0,-82.233713841,40.5165707408,183372
183373,183373,0,-82.1748283678,40.510113593,183373
183374,183374,0,-82.1159535843,40.5036291085,183374
183375,183375,0,-82.0570895328,40.4971172952,183375
183376,183376,0,-81.9982362555,40.4905781607,183376
183377,183377,0,-81.9393937946,40.4840117128,183377
184195,184195,0,-82.6378622667,40.6052038176,184195
184196,184196,0,-82.5788672883,40.5989341632,184196
184197,184197,0,-82.5198827216,40.5926371023,184197
184198,184198,0,-82.4609086093,40.5863126427,184198
184199,184199,0,-82.4019449941,40.5799607917,184199
184200,184200,0,-82.3429919184,40.5735815571,184200
184201,184201,0,-82.284049425,40.5671749464,184201
184202,184202,0,-82.2251175561,40.5607409673,184202
184203,184203,0,-82.1661963544,40.5542796275,184203
184204,184204,0,-82.1072858621,40.5477909347,184204
184205,184205,0,-82.0483861216,40.5412748966,184205
185025,185025,0,-82.6295062595,40.6494037148,185025
185026,185026,0,-82.5704753736,40.6431299744,185026
185027,185027,0,-82.5114549188,40.6368288111,185027
185028,185028,0,-82.4524449376,40.6305002323,185028
185031,185031,0,-82.2754782637,40.6113500798,185031
185032,185032,0,-82.2165106041,40.6049119157,185032
185854,185854,0,-82.6802171078,40.6998548157,185854
185855,185855,0,-82.6211398641,40.6936044273,185855
185856,185856,0,-82.562073028,40.6873265917,185856
185857,185857,0,-82.5030166422,40.6810213165,185857
185858,185858,0,-82.4439707495,40.6746886094,185858
186686,186686,0,-82.6718763174,40.7440604597,186686
186687,186687,0,-82.6127630613,40.7378059834,186687
186688,186688,0,-82.553660232,40.7315240434,186688
186689,186689,0,-82.4945678724,40.7252146472,186689
187520,187520,0,-82.6043758317,40.7820084117,187520
148392,148392,0,-82.3066933594,38.5858497615,148392
148393,148393,0,-82.2493549425,38.5794310587,148393
148394,148394,0,-82.1920266057,38.5729857262,148394
149194,149194,0,-82.2983680743,38.6299955854,149194
149195,149195,0,-82.240995774,38.6235729977,149195
149196,149196,0,-82.183633572,38.6171237654,149196
149994,149994,0,-82.2900327301,38.6741409306,149994
149995,149995,0,-82.2326265073,38.6677144495,149995
149996,149996,0,-82.1752304009,38.6612613088,149996
150796,150796,0,-82.2816873088,38.7182858228,150796
150797,150797,0,-82.2242471243,38.7118554397,150797
150798,150798,0,-82.1668170743,38.7053983821,150798
151596,151596,0,-82.3308160913,38.7688378851,151596
151597,151597,0,-82.2733317922,38.7624302879,151597
151598,151598,0,-82.2158576066,38.7559959941,151598
151599,151599,0,-82.1583935739,38.749535011,151599
152395,152395,0,-82.3800129699,38.8193706359,152395
152396,152396,0,-82.3224845198,38.812985853,152396
